date,open,high,low,close,volume,source
2025-09-08,825.0,835.0,825.0,825.52,20280.0,sharesansar
2025-09-07,839.0,840.0,824.0,824.74,69008.0,sharesansar
2025-09-04,845.0,858.0,835.0,839.51,31682.0,sharesansar
2025-09-03,850.0,850.0,844.2,845.66,7306.0,sharesansar
2025-09-02,859.8,859.8,843.1,844.1,23696.0,sharesansar
2025-09-01,865.2,865.2,840.0,843.03,29413.0,sharesansar
2025-08-31,851.5,852.0,845.1,848.27,23673.0,sharesansar
2025-08-28,868.8,868.8,848.7,849.32,38036.0,sharesansar
2025-08-27,867.3,867.3,849.1,852.06,47731.0,sharesansar
2025-08-26,866.6,866.6,849.9,850.34,17137.0,sharesansar
2025-08-25,849.0,859.0,849.0,850.91,20148.0,sharesansar
2025-08-24,850.0,863.0,848.0,852.12,14313.0,sharesansar
2025-08-21,864.9,864.9,850.0,850.4,22531.0,sharesansar
2025-08-20,853.0,860.0,850.1,852.79,12368.0,sharesansar
2025-08-19,865.0,885.0,850.0,852.81,15746.0,sharesansar
2025-08-18,849.0,855.0,849.0,851.52,15830.0,sharesansar
2025-08-17,858.6,870.0,848.1,849.61,62678.0,sharesansar
2025-08-14,882.0,882.0,873.0,876.08,9640.0,sharesansar
2025-08-13,873.1,882.0,865.3,874.58,12725.0,sharesansar
2025-08-12,871.0,885.0,871.0,872.99,11154.0,sharesansar
